q,construct,answer,,
q1,passive,Bottom,,
q2,subject cleft,Bottom,,
q3,object cleft,Top,,
q5,object cleft,Bottom,,
q6,subject cleft,Bottom,,
q7,passive,Top,,
q9_1,reject invitation,Incorrect,,
q9_4,reject invitation,Incorrect,,
q10_2,how old are you,Incorrect,,
q10_4,how old are you,Incorrect,,
q11_3,future perfect,Incorrect,,
q11_4,future perfect,Incorrect,,
q12_1,copula,Incorrect,,
q12_2,copula,Incorrect,,
q12_4,copula,Correct,,
q13_3,subject relative pronoun,Incorrect,,
q13_4,subject relative pronoun,Incorrect,,
q14_3,yes we did,Incorrect,,
q14_4,yes we did,Incorrect,,
q15_1,study medicine,Incorrect,,
q15_2,study medicine,Incorrect,,
q15_3,study medicine,Incorrect,,
q16_3,in hospital,Incorrect,,
q16_4,in hospital,Incorrect,,
q17_1,it’ll be okay,Incorrect,,
q17_3,it’ll be okay,Incorrect,,
q17_4,it’ll be okay,Correct,,
q18_2,if he had known,Incorrect,,
q18_3,if he had known,Correct,,
q18_4,if he had known,Incorrect,,
q19_1,are playing,Correct,,
q19_2,are playing,Incorrect,,
q19_3,are playing,Incorrect,,
q19_4,are playing,Incorrect,,
q20_1,I told the story,Incorrect,,
q20_2,I told the story,Incorrect,,
q20_3,I told the story,Incorrect,,
q20_4,I told the story,Correct,,
q21_1,to him,Incorrect,,
q21_2,to him,Correct,,
q21_3,to him,Incorrect,,
q21_4,to him,Incorrect,,
q22_1,may be travelling,Correct,,
q22_2,may be travelling,Incorrect,,
q22_3,may be travelling,Incorrect,,
q22_4,may be travelling,Incorrect,,
q23_3,gave the library,Incorrect,,
q23_4,gave the library,Incorrect,,
q24_1,tickled,Incorrect,,
q24_2,tickled,Incorrect,,
q24_3,tickled,Incorrect,,
q24_4,tickled,Correct,,
q25_1,President Obama,Incorrect,,
q25_2,President Obama,Incorrect,,
q25_3,President Obama,Incorrect,,
q25_4,President Obama,Correct,,
q26_1,the sky,Correct,,
q26_2,the sky,Incorrect,,
q26_3,tg,Incorrect,,
q26_4,the sky,Incorrect,,
q27_1,justice,Incorrect,,
q27_2,justice,Correct,,
q27_3,justice,Incorrect,,
q27_4,justice,Incorrect,,
q28_1,at the weekend,Incorrect,,
q28_2,at the weekend,Incorrect,,
q29_1,would rather,Incorrect,,
q29_2,would rather,Incorrect,,
q29_3,would rather,Correct,,
q29_4,would rather,Incorrect,,
q30_1,poured,Incorrect,,
q30_2,poured,Correct,,
q30_3,poured,Incorrect,,
q30_4,poured,Incorrect,,
q31_1,in the soccer team,Incorrect,,
q31_4,in the soccer team,Incorrect,,
q32_5,misc,Correct,,
q32_6,misc,Incorrect,,
q32_8,misc,Correct,,
q33_4,misc,Correct,,
q33_5,misc,Incorrect,,
q33_6,misc,Correct,,
q33_7,misc,Incorrect,,
q34_1,misc,Incorrect,,
q34_2,misc,Incorrect,,
q34_3,misc,Incorrect,,
q34_4,misc,Incorrect,,
q34_6,misc,Correct,,
q34_8,misc,Incorrect,,
q35_1,misc,Incorrect,,
q35_2,misc,Incorrect,,
q35_4,misc,Correct,,
q35_5,misc,Incorrect,,
q35_7,misc,Incorrect,,
q35_8,misc,Incorrect,,
